"recherche_id";"fetch_id";"test_NCT";"date_check_nct";"lot"
"35093737";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35093281";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35093240";TRUE;TRUE;"2022-02-04 22:55:00";"LOT_20220204225447"
"35093205";TRUE;TRUE;"2022-02-04 22:55:01";"LOT_20220204225447"
"35093164";TRUE;TRUE;"2022-02-04 22:55:01";"LOT_20220204225447"
"35093163";TRUE;TRUE;"2022-02-04 22:55:01";"LOT_20220204225447"
"35093126";TRUE;TRUE;"2022-02-04 22:55:01";"LOT_20220204225447"
"35093104";TRUE;TRUE;"2022-02-04 22:55:01";"LOT_20220204225447"
"35093029";TRUE;TRUE;"2022-02-04 22:55:01";"LOT_20220204225447"
"35093007";TRUE;TRUE;"2022-02-04 22:55:01";"LOT_20220204225447"
"35092868";TRUE;TRUE;"2022-02-04 22:55:01";"LOT_20220204225447"
"35092722";TRUE;TRUE;"2022-02-04 22:55:01";"LOT_20220204225447"
"35092599";TRUE;TRUE;"2022-02-04 22:55:01";"LOT_20220204225447"
"35092583";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35092128";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35091747";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35091711";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35091462";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35091448";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35091445";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35091441";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35091395";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35091170";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35090799";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35090722";TRUE;TRUE;"2022-02-04 22:55:02";"LOT_20220204225447"
"35090674";TRUE;TRUE;"2022-02-04 22:55:03";"LOT_20220204225447"
"35090638";TRUE;TRUE;"2022-02-04 22:55:03";"LOT_20220204225447"
"35090577";TRUE;TRUE;"2022-02-04 22:55:03";"LOT_20220204225447"
"35090544";TRUE;TRUE;"2022-02-04 22:55:03";"LOT_20220204225447"
"35090543";TRUE;TRUE;"2022-02-04 22:55:03";"LOT_20220204225447"
"35090531";TRUE;TRUE;"2022-02-04 22:55:03";"LOT_20220204225447"
"35090520";TRUE;TRUE;"2022-02-04 22:55:03";"LOT_20220204225447"
"35090433";TRUE;TRUE;"2022-02-04 22:55:03";"LOT_20220204225447"
"35090411";TRUE;TRUE;"2022-02-04 22:55:03";"LOT_20220204225447"
"35089982";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35089806";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35089798";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35089599";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35089449";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35089159";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35089156";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35089154";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35089153";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35088736";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35088735";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35088733";TRUE;TRUE;"2022-02-04 22:55:04";"LOT_20220204225447"
"35088732";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35088722";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35088709";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35088708";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35088348";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
"35087876";TRUE;TRUE;"2022-02-04 22:55:05";"LOT_20220204225447"
